yahoo,野蛮な人間|Yahoo(会社)|田舎者|やっほー
true,本当の|真実の|当てはまる
pas,(バレエのステップの)踏み足|優先権
false,正しくない|仮の|誤っている|嘘を言う|不誠実な|偽りの|人工の
adobe,日干しレンガ
mph,マイル毎時
metropolitan,首都の|首都の住民|大都市の人
commonwealth,国民|国家|共和国|民主国家
gem,宝石|逸品|珠玉|〜を飾る
atomic,原子の
tribune,(古代ローマの)護民官|人民の権利の擁護者
sodium,ナトリウム(英sodium|独Natrium)
rotation,規則正しい交替|回転
vampire,吸血鬼|人を食いものにする悪人
alto,女性の低音部歌手
ivory,象牙製の|象牙|象牙色|象牙製のもの|(ピアノの)キー|(玉突の)玉
holly,セイヨウヒイラギ
incoming,入ってくる|引き継ぐ|後任の|新入りの
root,植え付ける|根をおろす|声援する|根元|ふもと|先祖|地下茎|(人･土地との)つながり|ルーツ|語根|(数学)ルート
branch,枝|枝状のもの|部門|分野|支店|枝を出す|分化する|拡張する
minute,分|(角度の単位)分 1/60度|覚え書き|議事録|少しの間|ささいな
iron,鉄
visa,査証|裏書き|ビザ|旅券に裏書きをする|ビザを与える|VISA(クレジット会社)
utc,協定世界時間
mile,1マイル(約1609m)|海里
refine,不純物を除く|純化する|精錬|製錬|精練|洗練する
hook,ホック|かぎ|とめがね|かぎ形に曲げる
discharge,放電する|降ろす|放出(する)|開放(する)|解雇(する)
strain,傾向|素質|話し(書き)ぶり|旋律|気質|緊張させる|ぴんと張る|痛める
hood,ずきんをつける|ずきん|フード状のもの
tin,スズ|ブリキ|すず製容器他
nose,鼻
enzyme,酵素
back,バック|後ろに|support|支援する|推薦する|後退する|背中
track,轍|小道|競技場のトラック|鉄道路線|CDなどの録音の単位|(一周できるものに使う)
mm,ミリメートル|millimeters
argument,議論|主張|引き数(=parameter)
state,状態|はっきり述べる|国家(の)|州|独立国|主権国|様子|ありさま
pull,引く
fort,とりで|交易市場|要塞
pic,写真|絵|絵画
crack,〜にひびを入れる|割る|神経が参る|コカイン|パリッ|ピシッ|雷の音
formula,公式|方式|式辞|調合乳
pen,ペン
revolution,大改革|革命|循環|回転|旋回|公転
lay,横たえる|並べる|置く|位置|状態|横たわる|横になる
toe,足指|あし指|つま先|蹄鉄の前部|先端
spray,スプレーする|吹き掛ける|葉や花が付いた小枝
prison,刑務所|監獄|拘置所|監禁|禁固|幽閉
oracle,神託|神官|賢人|Oracle(会社)
tap,こつこつ叩く|開発する|引き出す|栓を抜く|靴の音|飲み口|栓|蛇口|盗聴|電話盗聴(傍受)装置|盗聴する
rod,魔法の杖|棒(権力･支配力の象徴)|(俗)ピストル|釣り竿|ものさし|ロッド(単位)|桿状菌
ion,イオン
quantum,量子
gauge,標準寸法|規格|尺度|計器|レールの軌間(ゲージ)|判断基準|測る
meta,(ギリシア語)meta- 超等の意味の接頭語
rabbit,ウサギ
bore,うんざりさせる|退屈なもの(人)|bear(産む)の過去形|掘る
cookie,クッキー(焼き菓子)(俗)やつ|魅力的な女
brief,要点を伝える|概要を作る|簡潔な|摘要|訴訟事件|短時間の|簡単な声明
finger,指
turkey,トルコ共和国|七面鳥
stroke,をなでる|ストローク|一撃|打撃|発作|(脳)卒中|一回の動作|(ペン･筆などの)一筆
fake,ごまかし|いかさま|のふりをする|仮病を使う|ねつ造する|だます
aside,側に|別に
who,誰
take,取る
shop,買い物をする|店
store,店
start,始める
ad,広告
bill,法案(legislation)|ビラ|紙幣|100ドル(紙幣)|起訴状|請求書|番組|くちばし
wed,結婚する|と結婚する|結びつける|Wednesdayの省略形
id,身分証明書
million,100万
billion,莫大な|10億の
song,歌|鳴く声|さえずり
district,区|地区|区域|地域|地方
rock,岩|ロック|揺する
bar,禁止する|ふさぐ|柵|法廷|帯|縞|バー|酒場|飲み屋
far,遠くに|はるかに|ドレミのファ
band,帯|バンド|音楽隊|一団
bush,やぶ|草むら
pet,ペット|ペットボトル
option,選択|選択可能物
amazon,アマゾン川|(ギリシア神話)アマゾン(勇猛な女戦士)|女丈夫|アマゾン(社名)
mouse,ハツカネズミ(ratはドブネズミで大きい)|臆病物|かわいい子
template,テンプレート|定形書式|鋳型
ray,放射線|光線|光明|ひらめき|熱線|半径|(魚)エイ|ドレミのレ
harry,ハリー(男性名Henryの愛称)|くり返し攻撃する|悩ます
tea,茶|ドレミのシ
leaf,葉
acrobat,曲芸師
medicare,高齢者向け医療保険制度
locator,賃貸人|権利者|位置を示すもの
gen,generalの省略形
rebel,謀反|反逆者|謀反を起こす|調和しない
booth,屋台店|模擬店|小さく仕切った部屋|電話ボックス|ボックス席
mono,単一の|単独の
furnishing,提供|備え付き家具
patio,(米語)パティオ(テラス,中庭)
valium,バリウム
copyrighted,著作権を取得した
polymer,モノマー(単量体)が多数結合した重合体
arctic,北極(地方)|Arctic北極の
quad,4つの
a,ひとつの
the,その
this,これ|この
that,あれ|あの
it,それ
can,〜することができる
will,〜するつもりである|〜でしょう
should,〜するべきである
may,〜してもよい|～かもしれない|～であろう
must,〜しなければならない|〜に違いない
would,〜だろう|〜したい
do,する
of,〜の
or,または|あるいは|(命令文の後で)さもなくば
and,〜と|そして
about,およそ|〜について
aboard,〜に乗って
above,〜より上に
across,～を横切って|～の向こう側へ|～の至るところに
after,～した後に[で]
against,～に対して|～に対抗して
along,～に沿って
alongside,〜のそばに
